rne_iso_code,year,month,mean_temp_celsius,total_precip_mm,month_start
MX-YUC,2010,1,21.740207572832404,16.116558636703772,2010-01-01
MX-YUC,2010,2,21.79615987325828,6.348993991830777,2010-02-01
MX-YUC,2010,3,23.01114940701937,4.630234376385418,2010-03-01
MX-YUC,2010,4,26.923178483875798,17.511606462201993,2010-04-01
MX-YUC,2010,5,29.00601591079324,22.940049457204296,2010-05-01
MX-YUC,2010,6,29.485665040453863,35.1418176425062,2010-06-01
MX-YUC,2010,7,27.736635647451067,47.07571088765949,2010-07-01
MX-YUC,2010,8,28.29779794193129,31.871377149681017,2010-08-01
MX-YUC,2010,9,27.71294958629971,44.576274274699855,2010-09-01
MX-YUC,2010,10,25.601105345120846,8.085804824915538,2010-10-01
MX-YUC,2010,11,24.787927219760476,5.094585531082299,2010-11-01
MX-YUC,2010,12,21.07899040433229,1.9301099468716276,2010-12-01
MX-YUC,2011,1,22.750079575624863,7.653908502979906,2011-01-01
MX-YUC,2011,2,24.073341149727387,7.02873549713903,2011-02-01
MX-YUC,2011,3,25.924821833038774,4.586820768671419,2011-03-01
MX-YUC,2011,4,28.94364442200671,1.4605577600875965,2011-04-01
MX-YUC,2011,5,29.5701677434852,1.1737550417091525,2011-05-01
MX-YUC,2011,6,28.186879743333453,51.55283219787908,2011-06-01
MX-YUC,2011,7,27.69302990901034,32.30328299396163,2011-07-01
MX-YUC,2011,8,28.528736981195483,38.21812110504153,2011-08-01
MX-YUC,2011,9,27.51121790472689,45.346723359619126,2011-09-01
MX-YUC,2011,10,25.350573286178196,39.66538532469262,2011-10-01
MX-YUC,2011,11,24.478504430627765,10.850883651824127,2011-11-01
MX-YUC,2011,12,23.60570335499775,3.9057563341359223,2011-12-01
MX-YUC,2012,1,23.610068306565918,15.649703380295234,2012-01-01
MX-YUC,2012,2,24.979634327387885,4.283851495757316,2012-02-01
MX-YUC,2012,3,26.68763963015088,0.9877361809300383,2012-03-01
MX-YUC,2012,4,26.841305441094004,18.91214813964199,2012-04-01
MX-YUC,2012,5,28.23810556693887,32.05568540044382,2012-05-01
MX-YUC,2012,6,27.482397121861318,55.723381882251694,2012-06-01
MX-YUC,2012,7,27.781166041111657,23.919052976641655,2012-07-01
MX-YUC,2012,8,28.280083152857667,28.752986490483377,2012-08-01
MX-YUC,2012,9,27.727393961939065,30.045036790895097,2012-09-01
MX-YUC,2012,10,26.05168222995793,23.521771236514564,2012-10-01
MX-YUC,2012,11,23.53966772837779,2.2745383146194977,2012-11-01
MX-YUC,2012,12,24.082471760473005,2.073644663198546,2012-12-01
MX-YUC,2013,1,24.215546478295003,9.755785162217993,2013-01-01
MX-YUC,2013,2,25.05632620195263,2.7356513562182703,2013-02-01
MX-YUC,2013,3,23.932906083932266,2.24502231457336,2013-03-01
MX-YUC,2013,4,28.066339348705927,4.4796284343527075,2013-04-01
MX-YUC,2013,5,28.270011593477346,14.703885318454585,2013-05-01
MX-YUC,2013,6,27.606332748111942,45.215106903411595,2013-06-01
MX-YUC,2013,7,27.264218326373065,36.19910812508106,2013-07-01
MX-YUC,2013,8,27.28210824930737,55.08003996767386,2013-08-01
MX-YUC,2013,9,26.5278435519887,58.29627391305388,2013-09-01
MX-YUC,2013,10,26.447995048669284,42.67145753265169,2013-10-01
MX-YUC,2013,11,25.0245795762949,33.18486885568517,2013-11-01
MX-YUC,2013,12,24.645673382123455,11.377254607056937,2013-12-01
MX-YUC,2014,1,22.002714359641395,22.75752559702374,2014-01-01
MX-YUC,2014,2,24.718463111108765,6.564254205022183,2014-02-01
MX-YUC,2014,3,26.23721857517362,6.516958023952742,2014-03-01
MX-YUC,2014,4,27.66356737089371,5.617549646081569,2014-04-01
MX-YUC,2014,5,27.487514155820467,29.222911828903193,2014-05-01
MX-YUC,2014,6,27.70918846574801,32.678624894076265,2014-06-01
MX-YUC,2014,7,28.286514656275468,13.007445773636066,2014-07-01
MX-YUC,2014,8,28.260850709513885,19.425392851784533,2014-08-01
MX-YUC,2014,9,27.00922959549207,49.81973251066786,2014-09-01
MX-YUC,2014,10,26.25821713247259,40.57141217934211,2014-10-01
MX-YUC,2014,11,23.611998829344582,9.362059773810234,2014-11-01
MX-YUC,2014,12,23.346171577980186,3.3531646188471678,2014-12-01
MX-YUC,2015,1,23.232681447138564,3.035557180740765,2015-01-01
MX-YUC,2015,2,22.912856340130954,7.119627581782185,2015-02-01
MX-YUC,2015,3,26.37737325794966,5.5481718892020515,2015-03-01
MX-YUC,2015,4,28.660120155921746,2.790839063675306,2015-04-01
MX-YUC,2015,5,28.827260218156212,2.5835508314235076,2015-05-01
MX-YUC,2015,6,27.8740884720779,21.90905144658965,2015-06-01
MX-YUC,2015,7,28.5616171449199,9.389759092035638,2015-07-01
MX-YUC,2015,8,28.270455605639874,25.348417961063774,2015-08-01
MX-YUC,2015,9,27.752946745688583,32.70792904358831,2015-09-01
MX-YUC,2015,10,26.82986358702165,28.249150844501653,2015-10-01
MX-YUC,2015,11,26.20769836008811,19.803314907482218,2015-11-01
MX-YUC,2015,12,25.774486146857043,6.963421086734544,2015-12-01
MX-YUC,2016,1,22.87392463805615,9.746074508188821,2016-01-01
MX-YUC,2016,2,22.56393295494425,6.239701293806443,2016-02-01
MX-YUC,2016,3,26.286590877214877,15.49120392767364,2016-03-01
MX-YUC,2016,4,27.71305268221939,5.1837027800650715,2016-04-01
MX-YUC,2016,5,29.357063638870123,6.973907484211245,2016-05-01
MX-YUC,2016,6,28.211719263669767,35.58975238585971,2016-06-01
MX-YUC,2016,7,28.659662879064566,19.1872281744598,2016-07-01
MX-YUC,2016,8,28.27581068596395,37.39847612701983,2016-08-01
MX-YUC,2016,9,27.956018531595344,35.529367651494184,2016-09-01
MX-YUC,2016,10,26.977470255630454,12.475137040842105,2016-10-01
MX-YUC,2016,11,25.72004193842009,6.42079944277735,2016-11-01
MX-YUC,2016,12,26.059115114626,4.603674649864263,2016-12-01
MX-YUC,2017,1,24.18671494599011,2.992153885138981,2017-01-01
MX-YUC,2017,2,25.51569808931942,1.2477708869102968,2017-02-01
MX-YUC,2017,3,25.92080752642368,0.7633983362513237,2017-03-01
MX-YUC,2017,4,27.688503216856237,11.280871741044525,2017-04-01
MX-YUC,2017,5,29.182624619785944,8.677274664322166,2017-05-01
MX-YUC,2017,6,28.0390573421019,48.95460080079816,2017-06-01
MX-YUC,2017,7,27.994480219094935,23.075042855672407,2017-07-01
MX-YUC,2017,8,28.449500830016873,32.952960595637805,2017-08-01
MX-YUC,2017,9,27.905139958763826,38.959957297305266,2017-09-01
MX-YUC,2017,10,26.290830340220584,31.09066190685476,2017-10-01
MX-YUC,2017,11,24.375259051526005,5.7393620866784305,2017-11-01
MX-YUC,2017,12,23.746689055924257,4.341167671595465,2017-12-01
MX-YUC,2018,1,21.857378869148338,14.869753334978373,2018-01-01
MX-YUC,2018,2,25.64967463229277,1.1987939113879849,2018-02-01
MX-YUC,2018,3,26.08449641326915,2.7930662084243347,2018-03-01
MX-YUC,2018,4,27.145939229973056,16.323129910103766,2018-04-01
MX-YUC,2018,5,27.43829682247912,29.618663293986224,2018-05-01
MX-YUC,2018,6,27.611554646541528,32.23345096991083,2018-06-01
MX-YUC,2018,7,28.242950224249107,16.827355374883986,2018-07-01
MX-YUC,2018,8,27.591981852923784,19.65616980647867,2018-08-01
MX-YUC,2018,9,27.433458073782163,30.440629099349948,2018-09-01
MX-YUC,2018,10,27.138510670591945,12.154866001021801,2018-10-01
MX-YUC,2018,11,25.322861610949143,17.868930459905002,2018-11-01
MX-YUC,2018,12,23.955960062445417,5.249571566279104,2018-12-01
MX-YUC,2019,1,22.725675731979003,9.541817705218898,2019-01-01
MX-YUC,2019,2,25.80671385567145,2.630178467035364,2019-02-01
MX-YUC,2019,3,26.274094344667937,4.7582477382936545,2019-03-01
MX-YUC,2019,4,27.910449623534547,4.579695736494533,2019-04-01
MX-YUC,2019,5,29.921482840275143,6.069395526301266,2019-05-01
MX-YUC,2019,6,29.54305793214923,23.197702641750958,2019-06-01
MX-YUC,2019,7,28.70005470840955,14.315672622734741,2019-07-01
MX-YUC,2019,8,28.73554790023714,20.706098939390635,2019-08-01
MX-YUC,2019,9,28.269473814719934,24.10670761983988,2019-09-01
MX-YUC,2019,10,27.69037772679992,35.35328722541702,2019-10-01
MX-YUC,2019,11,25.249916847092265,14.63722897216146,2019-11-01
MX-YUC,2019,12,23.832137556318994,10.259013499906294,2019-12-01
MX-YUC,2020,1,24.12384382308292,3.9565772189907378,2020-01-01
MX-YUC,2020,2,25.16962119121987,5.713634312700437,2020-02-01
MX-YUC,2020,3,26.889616308680797,0.5775824146621122,2020-03-01
MX-YUC,2020,4,29.917217940221153,3.2354777761749873,2020-04-01
MX-YUC,2020,5,28.807287844454372,23.888903096839833,2020-05-01
MX-YUC,2020,6,27.76460545591676,85.46751188070817,2020-06-01
MX-YUC,2020,7,28.573884231350537,22.682186393984818,2020-07-01
MX-YUC,2020,8,28.404530265166645,27.659785103281042,2020-08-01
MX-YUC,2020,9,28.325939641406837,40.5247017360105,2020-09-01
MX-YUC,2020,10,26.62602035514128,94.0444120345969,2020-10-01
MX-YUC,2020,11,25.58487485474206,19.369940932869135,2020-11-01
MX-YUC,2020,12,23.059198071846954,8.638479228154559,2020-12-01
MX-YUC,2021,1,23.12513803734423,17.88127452519711,2021-01-01
MX-YUC,2021,2,24.326518854969418,5.632846805516552,2021-02-01
MX-YUC,2021,3,26.36373941691151,2.326373707322051,2021-03-01
MX-YUC,2021,4,28.425429193189597,8.14400160526896,2021-04-01
MX-YUC,2021,5,29.03198733975564,14.514497135132146,2021-05-01
MX-YUC,2021,6,27.989830761167823,53.16402578464476,2021-06-01
MX-YUC,2021,7,28.568674374230746,14.719708900310955,2021-07-01
MX-YUC,2021,8,28.091380689280367,32.72672349715363,2021-08-01
MX-YUC,2021,9,27.76650527874833,27.50800762050452,2021-09-01
MX-YUC,2021,10,27.57415116584468,16.05245783685441,2021-10-01
MX-YUC,2021,11,24.52347565802972,12.327288660111924,2021-11-01
MX-YUC,2021,12,25.163930345425996,4.043926312407099,2021-12-01
MX-YUC,2022,1,23.19087860846815,8.307888199059855,2022-01-01
MX-YUC,2022,2,24.359326939822576,14.018007012220197,2022-02-01
MX-YUC,2022,3,26.11465361227617,5.85404293450398,2022-03-01
MX-YUC,2022,4,28.02476638073134,6.581915208887972,2022-04-01
MX-YUC,2022,5,28.68862471807702,20.7342400307758,2022-05-01
MX-YUC,2022,6,27.762867534017982,35.75778763617215,2022-06-01
MX-YUC,2022,7,28.20996054220347,24.276381171105157,2022-07-01
MX-YUC,2022,8,27.42543978568024,37.57435113218757,2022-08-01
MX-YUC,2022,9,27.097178504146882,40.95540453665219,2022-09-01
MX-YUC,2022,10,26.416469399399173,19.25588155962062,2022-10-01
MX-YUC,2022,11,26.158134904190092,13.270602336523789,2022-11-01
MX-YUC,2022,12,24.658334531779445,13.866439814773278,2022-12-01
MX-YUC,2023,1,24.507193478038825,5.684231756665014,2023-01-01
MX-YUC,2023,2,25.162951083592247,4.233174905549273,2023-02-01
MX-YUC,2023,3,26.886999863219472,8.465786070712422,2023-03-01
MX-YUC,2023,4,28.162224452125262,2.2016963940654874,2023-04-01
MX-YUC,2023,5,28.70737774452446,7.812924535017748,2023-05-01
MX-YUC,2023,6,29.867524320254475,13.510696355698842,2023-06-01
MX-YUC,2023,7,29.420891475991,19.199514291168793,2023-07-01
MX-YUC,2023,8,28.75328415332386,36.7714136347043,2023-08-01
MX-YUC,2023,9,28.469331776994483,24.2236851333299,2023-09-01
MX-YUC,2023,10,27.742552034003968,16.193799819814355,2023-10-01
MX-YUC,2023,11,25.947858892044053,20.076174389010475,2023-11-01
MX-YUC,2023,12,23.943323171034923,15.138656300149215,2023-12-01
MX-YUC,2024,1,24.443171888778284,12.73573956105651,2024-01-01
MX-YUC,2024,2,23.435391350786038,4.031291859252578,2024-02-01
MX-YUC,2024,3,27.824830754962885,3.0794808329110244,2024-03-01
MX-YUC,2024,4,28.536241868688883,2.9183853074128283,2024-04-01
MX-YUC,2024,5,31.61512363133951,0.4475668638102703,2024-05-01
MX-YUC,2024,6,28.797251416729374,78.72348853516193,2024-06-01
MX-YUC,2024,7,28.50280242130413,34.537713664012635,2024-07-01
MX-YUC,2024,8,28.225403919234118,43.57886145468572,2024-08-01
MX-YUC,2024,9,28.35297045320132,49.027187193564004,2024-09-01
MX-YUC,2024,10,26.392950590351273,52.38205109016175,2024-10-01
MX-YUC,2024,11,25.721915065142472,10.629773031599234,2024-11-01
MX-YUC,2024,12,23.64632538535387,5.39040606558035,2024-12-01
MX-YUC,2025,1,23.72121221506965,6.450980508816913,2025-01-01
MX-YUC,2025,2,25.424162767657144,6.8858626795191045,2025-02-01
MX-YUC,2025,3,26.50284990415779,1.4127802957604885,2025-03-01
MX-YUC,2025,4,27.36183953785603,1.896317026463774,2025-04-01
MX-YUC,2025,5,30.088043345050558,12.67420619239606,2025-05-01
MX-YUC,2025,6,28.8758041905363,29.938412417485964,2025-06-01
MX-YUC,2025,7,28.584112921409197,16.50909852613102,2025-07-01
MX-YUC,2025,8,28.172583133656214,32.30225255944636,2025-08-01
MX-YUC,2025,9,27.595989336674993,49.07841441839796,2025-09-01
MX-YUC,2025,10,26.57330514760866,38.709603923151,2025-10-01
MX-YUC,2025,11,25.005526670296074,9.224342277680227,2025-11-01
MX-YUC,2025,12,24.721385460566246,11.326773747077254,2025-12-01
MX-ZAC,1990,1,12.761903789455564,6.048997256865401,1990-01-01
MX-ZAC,1990,2,12.81323217496335,9.541693507830784,1990-02-01
MX-ZAC,1990,3,16.646564653270346,3.120753074673832,1990-03-01
MX-ZAC,1990,4,19.330283302178486,2.2911714842847535,1990-04-01
MX-ZAC,1990,5,21.477314654833105,23.31183841566557,1990-05-01
MX-ZAC,1990,6,22.00073405097295,17.21302392678754,1990-06-01
MX-ZAC,1990,7,19.15795580625219,60.333026717090156,1990-07-01
MX-ZAC,1990,8,18.89815807798104,52.47469233233945,1990-08-01
MX-ZAC,1990,9,18.00723829248541,45.510402861071505,1990-09-01
MX-ZAC,1990,10,16.69272831805251,19.11440528691109,1990-10-01
MX-ZAC,1990,11,14.84789805000059,0.7603233106072383,1990-11-01
MX-ZAC,1990,12,13.149451700537155,0.47011809937899535,1990-12-01
MX-ZAC,1991,1,12.363815807006667,0.7424841804239968,1991-01-01
MX-ZAC,1991,2,13.81485008806553,6.6322301406974535,1991-02-01
MX-ZAC,1991,3,17.5343189792345,0.01973178330015181,1991-03-01
MX-ZAC,1991,4,19.97354896035337,0.4938975859612926,1991-04-01
MX-ZAC,1991,5,21.82430731245816,7.664688700354718,1991-05-01
MX-ZAC,1991,6,20.811485909265528,34.31294957016674,1991-06-01
MX-ZAC,1991,7,17.83369203990646,102.99063797654549,1991-07-01
MX-ZAC,1991,8,19.560590565061624,38.83044981248265,1991-08-01
MX-ZAC,1991,9,17.363527444132522,52.448515208774815,1991-09-01
MX-ZAC,1991,10,16.26127404099752,17.83921111965573,1991-10-01
MX-ZAC,1991,11,13.792190625027107,5.204101006813993,1991-11-01
MX-ZAC,1991,12,12.219336456100047,16.527810505134514,1991-12-01
MX-ZAC,1992,1,9.819719145220493,52.522982827132864,1992-01-01
MX-ZAC,1992,2,11.092132942381978,8.219780659331917,1992-02-01
MX-ZAC,1992,3,15.412137469883275,3.9660454559405407,1992-03-01
MX-ZAC,1992,4,17.23679255744872,4.408192982274004,1992-04-01
MX-ZAC,1992,5,18.58425352474583,26.023904213178778,1992-05-01
MX-ZAC,1992,6,22.492221066202827,11.256373229519953,1992-06-01
MX-ZAC,1992,7,20.32743848089377,42.022140528791226,1992-07-01
MX-ZAC,1992,8,19.630005376551036,37.12038531025159,1992-08-01
MX-ZAC,1992,9,19.052952586338254,23.703107454925192,1992-09-01
MX-ZAC,1992,10,16.554361495960592,23.631973148454335,1992-10-01
MX-ZAC,1992,11,13.462804969244285,9.216319445233662,1992-11-01
MX-ZAC,1992,12,14.051422863745286,4.871005149702962,1992-12-01
MX-ZAC,1993,1,12.653771444963178,6.616087663155941,1993-01-01
MX-ZAC,1993,2,13.90642859763362,1.468318565511887,1993-02-01
MX-ZAC,1993,3,15.587384004436782,1.0745511094847178,1993-03-01
MX-ZAC,1993,4,18.726625034503165,1.3705054378516417,1993-04-01
MX-ZAC,1993,5,19.697202613908978,9.36167312716022,1993-05-01
MX-ZAC,1993,6,21.23498539931186,41.40257187690516,1993-06-01
