predictor_lab,prediction_lead,series,origin_week,R2,R2_low,R2_high
sintomas de dengue,Lead 3,AR,2018-09-16,0.4244344189351994,-1.2517699593462712,0.6389169002766851
sintomas de dengue,Lead 3,AR,2018-09-23,0.3002368177315037,-2.1985978722734987,0.6370059094136198
sintomas de dengue,Lead 3,AR,2018-09-30,-0.23781875797885532,-3.2871471080324355,0.23134299788228818
sintomas de dengue,Lead 3,AR,2018-10-07,-0.7921878656281713,-6.186898811878065,-0.06691146588071789
sintomas de dengue,Lead 3,AR,2018-10-14,-1.7384325972092163,-6.795892722946023,-0.8991979814021166
sintomas de dengue,Lead 3,AR,2018-10-21,-1.5240310480488333,-7.270870510620066,-0.301717565268361
sintomas de dengue,Lead 3,AR,2018-10-28,0.1030248029714278,-5.467570593947748,0.6406329462023533
sintomas de dengue,Lead 3,AR,2018-11-04,0.5294691200796444,-2.3315856865290217,0.782664470800764
sintomas de dengue,Lead 3,AR,2018-11-11,0.7407571130808309,-0.2351479310478497,0.8774191385537424
sintomas de dengue,Lead 3,AR,2018-11-18,0.8169043283267241,0.6226025877248189,0.8796771034623698
sintomas de dengue,Lead 3,AR,2018-11-25,0.8515609936247825,0.5181944448591234,0.919295888600981
sintomas de dengue,Lead 3,AR,2018-12-02,0.8594840491568412,-0.03814188551817499,0.9309800097195725
sintomas de dengue,Lead 3,AR,2018-12-09,0.8504244214182357,-0.5054372023936388,0.9585425595027182
sintomas de dengue,Lead 3,AR,2018-12-16,0.6266555127999307,-0.6599631321839916,0.8844549733032803
sintomas de dengue,Lead 3,AR,2018-12-23,0.34850815326371154,-1.6113367047782354,0.7600583431547239
sintomas de dengue,Lead 3,AR,2018-12-30,-0.109149668680947,-8.559458372689859,0.6043445379717026
sintomas de dengue,Lead 3,AR,2019-01-06,-1.0792017120902329,-16.112005411482897,0.05046064750145193
sintomas de dengue,Lead 3,AR,2019-01-13,-2.895058589790913,-67.42310244052312,-0.48195808550272284
sintomas de dengue,Lead 3,AR,2019-01-20,-3.5351363416725263,-130.38846942189085,-0.6022747981524241
sintomas de dengue,Lead 3,AR,2019-01-27,-4.089479893064826,-282.20901911370225,-0.6256473216270647
sintomas de dengue,Lead 3,AR,2019-02-03,-88.78646714378374,-381.0185988030785,-61.18531668512101
sintomas de dengue,Lead 3,AR,2019-02-10,-129.35129439608653,-736.4256310942451,-71.12575944750667
sintomas de dengue,Lead 3,AR,2019-02-17,-50.02169470525686,-311.1049684657886,-24.706856687319515
sintomas de dengue,Lead 3,AR,2019-02-24,-28.6650727864798,-193.6764062303306,-15.782883242681907
sintomas de dengue,Lead 3,AR,2019-03-03,-27.446145624651333,-136.6979058450419,-14.233251907719488
sintomas de dengue,Lead 3,AR,2019-03-10,-22.66428418597575,-353.8346759471448,-11.809482387319981
sintomas de dengue,Lead 3,AR,2019-03-17,-20.92558428622622,-69.67541157069675,-10.780620663532513
sintomas de dengue,Lead 3,AR,2019-03-24,-8.744706574603697,-44.942753500496714,-3.5519974340730536
