geo,origin_week,calendar_week,model,predictor,processing,max_lag,train_n,reporting_lag,n_leads,R2,MAPE
MX,2019-02-24,2019-03-24,ar,NA,raw,3,217,4,4,-11.476824223137646,41.17219029399356
MX,2019-02-24,2019-03-24,arx,dengue,processed,3,217,4,4,-13.39561036752486,45.104369270099085
MX,2019-02-24,2019-03-24,arx,dengue,raw,3,217,4,4,-10.122288357775881,39.19680994772059
MX,2019-02-24,2019-03-24,arx,mosquito,processed,3,217,4,4,-10.683656473898383,39.65744114897274
MX,2019-02-24,2019-03-24,arx,mosquito,raw,3,217,4,4,-10.311613171326838,39.05830551307392
MX,2019-02-24,2019-03-24,arx,sintomas_de_dengue,processed,3,217,4,4,-9.235232902694063,36.72353868339444
MX,2019-02-24,2019-03-24,arx,sintomas_de_dengue,raw,3,217,4,4,-10.345750609443215,39.13498270321063
MX,2019-03-03,2019-03-31,ar,NA,processed,3,218,4,4,-11.088948757306268,46.69984551968402
MX,2019-03-03,2019-03-31,ar,NA,raw,3,218,4,4,-11.088948757306268,46.69984551968402
MX,2019-03-03,2019-03-31,arx,dengue,processed,3,218,4,4,-11.513540256200525,48.58553778851788
MX,2019-03-03,2019-03-31,arx,dengue,raw,3,218,4,4,-8.482248204336564,41.46228978191261
MX,2019-03-03,2019-03-31,arx,mosquito,processed,3,218,4,4,-10.329299801943996,44.91150745372965
MX,2019-03-03,2019-03-31,arx,mosquito,raw,3,218,4,4,-9.647226924724917,43.53855170116431
MX,2019-03-03,2019-03-31,arx,sintomas_de_dengue,processed,3,218,4,4,-9.314357717228566,42.3730749658762
MX,2019-03-03,2019-03-31,arx,sintomas_de_dengue,raw,3,218,4,4,-10.006079385519783,44.40891451294944
MX,2019-03-10,2019-04-07,ar,NA,processed,3,219,4,4,-11.12686201776476,42.35266542842043
MX,2019-03-10,2019-04-07,ar,NA,raw,3,219,4,4,-11.12686201776476,42.35266542842043
MX,2019-03-10,2019-04-07,arx,dengue,processed,3,219,4,4,-10.726791746370376,42.939568120264475
MX,2019-03-10,2019-04-07,arx,dengue,raw,3,219,4,4,-5.89912093116638,31.931946755751444
MX,2019-03-10,2019-04-07,arx,mosquito,processed,3,219,4,4,-9.700980285423487,39.38729996146378
MX,2019-03-10,2019-04-07,arx,mosquito,raw,3,219,4,4,-8.416247412967042,37.01021905403446
MX,2019-03-10,2019-04-07,arx,sintomas_de_dengue,processed,3,219,4,4,-9.14037814979832,37.702059913570665
MX,2019-03-10,2019-04-07,arx,sintomas_de_dengue,raw,3,219,4,4,-9.875942263377992,39.58609641525891
MX,2019-03-17,2019-04-14,ar,NA,processed,3,220,4,4,-5.828293576214537,47.38843353070639
MX,2019-03-17,2019-04-14,ar,NA,raw,3,220,4,4,-5.828293576214537,47.38843353070639
MX,2019-03-17,2019-04-14,arx,dengue,processed,3,220,4,4,-5.320811237654314,42.82270712720849
MX,2019-03-17,2019-04-14,arx,dengue,raw,3,220,4,4,-2.7965611428592214,31.963111187792116
MX,2019-03-17,2019-04-14,arx,mosquito,processed,3,220,4,4,-5.048987021643623,43.877992350369574
MX,2019-03-17,2019-04-14,arx,mosquito,raw,3,220,4,4,-4.261030205920847,38.79605337565566
MX,2019-03-17,2019-04-14,arx,sintomas_de_dengue,processed,3,220,4,4,-4.8763890470975975,43.39010229367185
MX,2019-03-17,2019-04-14,arx,sintomas_de_dengue,raw,3,220,4,4,-5.167238929248763,44.36690103672009
MX,2019-03-24,2019-04-21,ar,NA,processed,3,221,4,4,-3.0513596094181947,36.174352404087195
MX,2019-03-24,2019-04-21,ar,NA,raw,3,221,4,4,-3.0513596094181947,36.174352404087195
MX,2019-03-24,2019-04-21,arx,dengue,processed,3,221,4,4,-2.388737702426934,30.023808867692413
MX,2019-03-24,2019-04-21,arx,dengue,raw,3,221,4,4,-0.5564721363261598,22.33932669390002
MX,2019-03-24,2019-04-21,arx,mosquito,processed,3,221,4,4,-2.2113227983879202,30.705269657120787
MX,2019-03-24,2019-04-21,arx,mosquito,raw,3,221,4,4,-1.4843905115264544,26.349713775695644
MX,2019-03-24,2019-04-21,arx,sintomas_de_dengue,processed,3,221,4,4,-2.5607260846836146,33.4330769438246
MX,2019-03-24,2019-04-21,arx,sintomas_de_dengue,raw,3,221,4,4,-2.7840091155927977,34.8597391775805
MX,2019-03-31,2019-04-28,ar,NA,processed,3,222,4,4,-1.6334760389823457,26.920635769641756
MX,2019-03-31,2019-04-28,ar,NA,raw,3,222,4,4,-1.6334760389823457,26.920635769641756
MX,2019-03-31,2019-04-28,arx,dengue,processed,3,222,4,4,-0.7509974496677061,23.900129254403524
MX,2019-03-31,2019-04-28,arx,dengue,raw,3,222,4,4,0.06903983433936078,18.83606449441001
MX,2019-03-31,2019-04-28,arx,mosquito,processed,3,222,4,4,-0.8187152305545131,24.62313488207738
MX,2019-03-31,2019-04-28,arx,mosquito,raw,3,222,4,4,-0.11354357285752359,20.924728399747323
MX,2019-03-31,2019-04-28,arx,sintomas_de_dengue,processed,3,222,4,4,-1.2900678083351096,25.630544299576574
MX,2019-03-31,2019-04-28,arx,sintomas_de_dengue,raw,3,222,4,4,-1.5137914231147884,26.24842737378289
MX,2019-04-07,2019-05-05,ar,NA,processed,3,223,4,4,-3.2046331980111926,32.66037139302686
MX,2019-04-07,2019-05-05,ar,NA,raw,3,223,4,4,-3.2046331980111926,32.66037139302686
MX,2019-04-07,2019-05-05,arx,dengue,processed,3,223,4,4,-2.074441777959656,28.818915662712485
MX,2019-04-07,2019-05-05,arx,dengue,raw,3,223,4,4,-1.4491460392146673,25.901575081244925
MX,2019-04-07,2019-05-05,arx,mosquito,processed,3,223,4,4,-2.957675698567736,31.455439150247006
MX,2019-04-07,2019-05-05,arx,mosquito,raw,3,223,4,4,-1.6917598681863044,26.352602944563174
MX,2019-04-07,2019-05-05,arx,sintomas_de_dengue,processed,3,223,4,4,-2.667415887309771,30.889643772504762
MX,2019-04-07,2019-05-05,arx,sintomas_de_dengue,raw,3,223,4,4,-3.075956751825731,32.320072155057865
MX,2019-04-14,2019-05-12,ar,NA,processed,3,224,4,4,-4.573298993541699,46.7728918694226
MX,2019-04-14,2019-05-12,ar,NA,raw,3,224,4,4,-4.573298993541699,46.7728918694226
MX,2019-04-14,2019-05-12,arx,dengue,processed,3,224,4,4,-3.1686991594676925,40.136385432184404
MX,2019-04-14,2019-05-12,arx,dengue,raw,3,224,4,4,-2.664623420897432,36.773623387459516
MX,2019-04-14,2019-05-12,arx,mosquito,processed,3,224,4,4,-4.560128320513086,45.817117728955346
MX,2019-04-14,2019-05-12,arx,mosquito,raw,3,224,4,4,-3.220833187129493,38.91224903825794
MX,2019-04-14,2019-05-12,arx,sintomas_de_dengue,processed,3,224,4,4,-4.036889559760808,44.43608300414499
MX,2019-04-14,2019-05-12,arx,sintomas_de_dengue,raw,3,224,4,4,-4.096315449542669,45.44877578574332
MX,2019-04-21,2019-05-19,ar,NA,processed,3,225,4,4,-4.984186696018231,46.92540473415534
MX,2019-04-21,2019-05-19,ar,NA,raw,3,225,4,4,-4.984186696018231,46.92540473415534
MX,2019-04-21,2019-05-19,arx,dengue,processed,3,225,4,4,-3.482459847493664,39.89036315426199
MX,2019-04-21,2019-05-19,arx,dengue,raw,3,225,4,4,-3.259766626656477,38.121244144633145
MX,2019-04-21,2019-05-19,arx,mosquito,processed,3,225,4,4,-5.281119234363411,48.04259005992858
MX,2019-04-21,2019-05-19,arx,mosquito,raw,3,225,4,4,-3.781992699212064,40.91685715376511
MX,2019-04-21,2019-05-19,arx,sintomas_de_dengue,processed,3,225,4,4,-4.234307401822376,43.7723985630289
MX,2019-04-21,2019-05-19,arx,sintomas_de_dengue,raw,3,225,4,4,-4.243815142740884,44.23477039955965
MX,2019-04-28,2019-05-26,ar,NA,processed,3,226,4,4,-9.239539740763743,50.45099300690891
MX,2019-04-28,2019-05-26,ar,NA,raw,3,226,4,4,-9.239539740763743,50.45099300690891
MX,2019-04-28,2019-05-26,arx,dengue,processed,3,226,4,4,-6.866849055948563,43.75626483821032
MX,2019-04-28,2019-05-26,arx,dengue,raw,3,226,4,4,-6.725328247677546,42.90173030503143
MX,2019-04-28,2019-05-26,arx,mosquito,processed,3,226,4,4,-9.738011396732164,51.68150677728185
MX,2019-04-28,2019-05-26,arx,mosquito,raw,3,226,4,4,-7.331732771368268,45.08462092956881
MX,2019-04-28,2019-05-26,arx,sintomas_de_dengue,processed,3,226,4,4,-7.72301588018807,46.41454169006863
MX,2019-04-28,2019-05-26,arx,sintomas_de_dengue,raw,3,226,4,4,-7.630953628255151,46.170259908730976
MX,2019-05-05,2019-06-02,ar,NA,processed,3,227,4,4,-41.69750180863242,49.79922592718235
MX,2019-05-05,2019-06-02,ar,NA,raw,3,227,4,4,-41.69750180863242,49.79922592718235
MX,2019-05-05,2019-06-02,arx,dengue,processed,3,227,4,4,-32.96311849470967,44.541276398542955
MX,2019-05-05,2019-06-02,arx,dengue,raw,3,227,4,4,-34.241516043652304,45.58398918770111
MX,2019-05-05,2019-06-02,arx,mosquito,processed,3,227,4,4,-43.58722180624901,50.99194833464763
MX,2019-05-05,2019-06-02,arx,mosquito,raw,3,227,4,4,-33.7312877587726,45.20157000154028
MX,2019-05-05,2019-06-02,arx,sintomas_de_dengue,processed,3,227,4,4,-34.884833372328856,45.878980777603346
MX,2019-05-05,2019-06-02,arx,sintomas_de_dengue,raw,3,227,4,4,-34.88061434300564,45.94500282433027
MX,2019-05-12,2019-06-09,ar,NA,processed,3,228,4,4,-2.3439280927935853,44.90582095481865
MX,2019-05-12,2019-06-09,ar,NA,raw,3,228,4,4,-2.3439280927935853,44.90582095481865
MX,2019-05-12,2019-06-09,arx,dengue,processed,3,228,4,4,-2.053739663633619,42.14815327133105
MX,2019-05-12,2019-06-09,arx,dengue,raw,3,228,4,4,-2.0156342211665472,43.318983891354044
MX,2019-05-12,2019-06-09,arx,mosquito,processed,3,228,4,4,-2.264033347689102,45.1839669760178
MX,2019-05-12,2019-06-09,arx,mosquito,raw,3,228,4,4,-1.6836319029561704,40.02658437139971
MX,2019-05-12,2019-06-09,arx,sintomas_de_dengue,processed,3,228,4,4,-1.8652402716789251,40.1985815346324
MX,2019-05-12,2019-06-09,arx,sintomas_de_dengue,raw,3,228,4,4,-1.8821151536030873,40.74298768232729
