adm_0_name,start_date,end_date,Year,T_res,dengue_total
MEXICO,2018-12-23,2018-12-29,2018,Week,481
MEXICO,2018-12-30,2019-01-05,2018,Week,89
MEXICO,2019-01-06,2019-01-12,2019,Week,690
MEXICO,2019-01-13,2019-01-19,2019,Week,820
MEXICO,2019-01-20,2019-01-26,2019,Week,847
MEXICO,2019-01-27,2019-02-02,2019,Week,755
MEXICO,2019-02-03,2019-02-09,2019,Week,697
MEXICO,2019-02-10,2019-02-16,2019,Week,776
MEXICO,2019-02-17,2019-02-23,2019,Week,829
MEXICO,2019-02-24,2019-03-02,2019,Week,835
MEXICO,2019-03-03,2019-03-09,2019,Week,793
MEXICO,2019-03-10,2019-03-16,2019,Week,959
MEXICO,2019-03-17,2019-03-23,2019,Week,669
MEXICO,2019-03-24,2019-03-30,2019,Week,826
MEXICO,2019-03-31,2019-04-06,2019,Week,996
MEXICO,2019-04-07,2019-04-13,2019,Week,976
MEXICO,2019-04-14,2019-04-20,2019,Week,557
MEXICO,2019-04-21,2019-04-27,2019,Week,786
MEXICO,2019-04-28,2019-05-04,2019,Week,775
MEXICO,2019-05-05,2019-05-11,2019,Week,933
MEXICO,2019-05-12,2019-05-18,2019,Week,1330
MEXICO,2019-05-19,2019-05-25,2019,Week,1349
MEXICO,2019-05-26,2019-06-01,2019,Week,1548
MEXICO,2019-06-02,2019-06-08,2019,Week,1579
MEXICO,2019-06-09,2019-06-15,2019,Week,2882
MEXICO,2019-06-16,2019-06-22,2019,Week,1460
MEXICO,2019-06-23,2019-06-29,2019,Week,2503
MEXICO,2019-06-30,2019-07-06,2019,Week,2651
MEXICO,2019-07-07,2019-07-13,2019,Week,2946
MEXICO,2019-07-14,2019-07-20,2019,Week,3355
MEXICO,2019-07-21,2019-07-27,2019,Week,3559
MEXICO,2019-07-28,2019-08-03,2019,Week,4440
MEXICO,2019-08-04,2019-08-10,2019,Week,5060
MEXICO,2019-08-11,2019-08-17,2019,Week,6504
MEXICO,2019-08-18,2019-08-24,2019,Week,8137
MEXICO,2019-08-25,2019-08-31,2019,Week,10366
MEXICO,2019-09-01,2019-09-07,2019,Week,12670
MEXICO,2019-09-08,2019-09-14,2019,Week,13563
MEXICO,2019-09-15,2019-09-21,2019,Week,12481
MEXICO,2019-09-22,2019-09-28,2019,Week,16488
MEXICO,2019-09-29,2019-10-05,2019,Week,16437
MEXICO,2019-10-06,2019-10-12,2019,Week,17746
MEXICO,2019-10-13,2019-10-19,2019,Week,17963
MEXICO,2019-10-20,2019-10-26,2019,Week,17360
MEXICO,2019-10-27,2019-11-02,2019,Week,14837
MEXICO,2019-11-03,2019-11-09,2019,Week,13297
MEXICO,2019-11-10,2019-11-16,2019,Week,10230
MEXICO,2019-11-17,2019-11-23,2019,Week,7036
MEXICO,2019-11-24,2019-11-30,2019,Week,7060
MEXICO,2019-12-01,2019-12-07,2019,Week,6508
MEXICO,2019-12-08,2019-12-14,2019,Week,5187
MEXICO,2019-12-15,2019-12-21,2019,Week,3724
MEXICO,2019-12-22,2019-12-28,2019,Week,1594
