geo,origin_week,model,predictor,processing,max_lag,train_n,n_leads,R2,MAPE
MX,2017-03-05,arx,sintomas_de_dengue,processed,3,114,8,-37.71604939086929,114.3301537057635
MX,2017-03-05,arx,sintomas_de_dengue,raw,1,114,8,-24.4352231132771,90.71611552832034
MX,2017-03-05,arx,sintomas_de_dengue,raw,2,114,8,-26.18684203443143,97.13448972730878
MX,2017-03-05,arx,sintomas_de_dengue,raw,3,114,8,-41.551509299511444,119.99815752116983
MX,2017-03-12,ar,NA,processed,1,115,8,-23.387211447943347,86.92511782472711
MX,2017-03-12,ar,NA,processed,2,115,8,-14.489246108808437,69.56839862128001
MX,2017-03-12,ar,NA,processed,3,115,8,-26.57921813398714,92.66944343837034
MX,2017-03-12,ar,NA,raw,1,115,8,-23.387211447943347,86.92511782472711
MX,2017-03-12,ar,NA,raw,2,115,8,-14.489246108808437,69.56839862128001
MX,2017-03-12,ar,NA,raw,3,115,8,-26.57921813398714,92.66944343837034
MX,2017-03-12,arx,dengue,processed,1,115,8,-22.293090254933848,85.95486460200858
MX,2017-03-12,arx,dengue,processed,2,115,8,-20.02741565925972,64.01867941572144
MX,2017-03-12,arx,dengue,processed,3,115,8,-75.69705404477209,140.00615874143315
MX,2017-03-12,arx,dengue,raw,1,115,8,-37.682034368183274,109.29455074530733
MX,2017-03-12,arx,dengue,raw,2,115,8,-60.86592065040506,116.3625632352026
MX,2017-03-12,arx,dengue,raw,3,115,8,-110.84905647400176,166.002675012442
MX,2017-03-12,arx,mosquito,processed,1,115,8,-20.874746881209056,81.81700075547805
MX,2017-03-12,arx,mosquito,processed,2,115,8,-10.982336369992145,60.29999295433751
MX,2017-03-12,arx,mosquito,processed,3,115,8,-33.96906241403192,104.14318543504915
MX,2017-03-12,arx,mosquito,raw,1,115,8,-25.907647192834673,91.9356282889917
MX,2017-03-12,arx,mosquito,raw,2,115,8,-24.056181226348226,89.16689185026789
MX,2017-03-12,arx,mosquito,raw,3,115,8,-45.628845477128664,121.53911885827415
MX,2017-03-12,arx,sintomas_de_dengue,processed,1,115,8,-21.518076268313028,79.70168132139797
MX,2017-03-12,arx,sintomas_de_dengue,processed,2,115,8,-7.839241385854006,52.05526870059306
MX,2017-03-12,arx,sintomas_de_dengue,processed,3,115,8,-27.728502905099997,97.83189296183467
MX,2017-03-12,arx,sintomas_de_dengue,raw,1,115,8,-23.30452963399882,88.18642041318196
MX,2017-03-12,arx,sintomas_de_dengue,raw,2,115,8,-16.249096669332033,75.70516469423949
MX,2017-03-12,arx,sintomas_de_dengue,raw,3,115,8,-32.9092314708818,107.85951858369964
MX,2017-03-19,ar,NA,processed,1,116,8,-12.894904779896542,69.56556828782551
MX,2017-03-19,ar,NA,processed,2,116,8,-6.733243888574188,52.51866002813706
MX,2017-03-19,ar,NA,processed,3,116,8,-12.285508635975724,67.16214157997798
MX,2017-03-19,ar,NA,raw,1,116,8,-12.894904779896542,69.56556828782551
MX,2017-03-19,ar,NA,raw,2,116,8,-6.733243888574188,52.51866002813706
MX,2017-03-19,ar,NA,raw,3,116,8,-12.285508635975724,67.16214157997798
MX,2017-03-19,arx,dengue,processed,1,116,8,-11.71991917765836,67.79092374344076
MX,2017-03-19,arx,dengue,processed,2,116,8,-14.288580372686237,58.722946417226474
MX,2017-03-19,arx,dengue,processed,3,116,8,-55.93999852777544,133.29345038792587
MX,2017-03-19,arx,dengue,raw,1,116,8,-22.36886835066631,90.53364819211988
MX,2017-03-19,arx,dengue,raw,2,116,8,-40.71719988689095,96.97580102629874
MX,2017-03-19,arx,dengue,raw,3,116,8,-83.3599550544684,161.34683092791138
MX,2017-03-19,arx,mosquito,processed,1,116,8,-11.414429600395076,65.21732586827247
MX,2017-03-19,arx,mosquito,processed,2,116,8,-4.787363494743922,44.13192056064681
MX,2017-03-19,arx,mosquito,processed,3,116,8,-16.436684995841684,76.56344863914373
MX,2017-03-19,arx,mosquito,raw,1,116,8,-13.265082638394945,71.53388458419681
MX,2017-03-19,arx,mosquito,raw,2,116,8,-11.380617304322275,66.84075875387822
MX,2017-03-19,arx,mosquito,raw,3,116,8,-22.81740946825366,91.50942115905933
MX,2017-03-19,arx,sintomas_de_dengue,processed,1,116,8,-15.314426382627492,73.64143566769074
MX,2017-03-19,arx,sintomas_de_dengue,processed,2,116,8,-3.759306022750512,39.838753613901744
MX,2017-03-19,arx,sintomas_de_dengue,processed,3,116,8,-8.769902736687866,59.28196485196315
