geo,model,predictor,processing,max_lag,prediction_lead,n_origins,R2,MAPE
MX,arx,mosquito,raw,2,8,149,-0.16062725555736157,183.53833889510673
MX,arx,mosquito,raw,3,1,149,0.9707874345693548,25.836572953528876
MX,arx,mosquito,raw,3,2,149,0.9284628580271285,40.32229624830297
MX,arx,mosquito,raw,3,3,149,0.8412901908196477,61.97569018690181
MX,arx,mosquito,raw,3,4,149,0.7229600282349571,84.41578630477197
MX,arx,mosquito,raw,3,5,149,0.5812622989281284,105.3176193282761
MX,arx,mosquito,raw,3,6,149,0.4323571614049506,127.62217247237453
MX,arx,mosquito,raw,3,7,149,0.25893711848589995,164.76243251509067
MX,arx,mosquito,raw,3,8,149,0.07742109434775624,183.86385821401106
MX,arx,sintomas_de_dengue,processed,1,1,149,0.9662917839405193,27.431001483220484
MX,arx,sintomas_de_dengue,processed,1,2,149,0.9067069806599589,43.78556592307996
MX,arx,sintomas_de_dengue,processed,1,3,149,0.7920763693140298,65.99206047090213
MX,arx,sintomas_de_dengue,processed,1,4,149,0.6451835001145622,88.10321360620836
MX,arx,sintomas_de_dengue,processed,1,5,149,0.4712708835943046,112.68304782513997
MX,arx,sintomas_de_dengue,processed,1,6,149,0.2804259351655978,134.61291184884755
MX,arx,sintomas_de_dengue,processed,1,7,149,0.06038422515327979,169.90835764238432
MX,arx,sintomas_de_dengue,processed,1,8,149,-0.18574070936722809,193.31374743587796
MX,arx,sintomas_de_dengue,processed,2,1,149,0.9668468123534705,31.799734135851427
MX,arx,sintomas_de_dengue,processed,2,2,149,0.9215910470265551,46.07041033836776
MX,arx,sintomas_de_dengue,processed,2,3,149,0.8425304302327519,63.828409051681255
MX,arx,sintomas_de_dengue,processed,2,4,149,0.7424209398360713,83.50402851433556
MX,arx,sintomas_de_dengue,processed,2,5,149,0.6342917907599237,104.35987616577718
MX,arx,sintomas_de_dengue,processed,2,6,149,0.5229574113639959,124.88650495680629
MX,arx,sintomas_de_dengue,processed,2,7,149,0.3888358301341197,157.72788906910418
MX,arx,sintomas_de_dengue,processed,2,8,149,0.2306845279903048,174.80153339813492
MX,arx,sintomas_de_dengue,processed,3,1,149,0.9718135491250192,27.630942361823745
MX,arx,sintomas_de_dengue,processed,3,2,149,0.9370274910572887,42.209279134489016
MX,arx,sintomas_de_dengue,processed,3,3,149,0.8699585612224209,61.219526511689615
MX,arx,sintomas_de_dengue,processed,3,4,149,0.7898499591312502,81.7395901296168
MX,arx,sintomas_de_dengue,processed,3,5,149,0.703706382787781,101.77939728178293
MX,arx,sintomas_de_dengue,processed,3,6,149,0.6210340070243519,122.83471061821534
MX,arx,sintomas_de_dengue,processed,3,7,149,0.5189736905660101,159.27468672290573
MX,arx,sintomas_de_dengue,processed,3,8,149,0.402804006478935,175.22110533368905
MX,arx,sintomas_de_dengue,raw,1,1,149,0.968392043365519,27.063254394002712
MX,arx,sintomas_de_dengue,raw,1,2,149,0.92087353504789915,43.801511749333
MX,arx,sintomas_de_dengue,raw,1,3,149,0.8279751591566819,63.910361440976594
MX,arx,sintomas_de_dengue,raw,1,4,149,0.715244301204266,84.51416601631675
MX,arx,sintomas_de_dengue,raw,1,5,149,0.5832659318850921,107.60511376906581
MX,arx,sintomas_de_dengue,raw,1,6,149,0.4447915231016528,127.72608794151922
MX,arx,sintomas_de_dengue,raw,1,7,149,0.2911380728465114,160.4784235455645
MX,arx,sintomas_de_dengue,raw,1,8,149,0.11768835200417338,182.27574602518527
MX,arx,sintomas_de_dengue,raw,2,1,149,0.9698534654367408,28.898255410339274
MX,arx,sintomas_de_dengue,raw,2,2,149,0.9389700571866479,39.181339529811446
MX,arx,sintomas_de_dengue,raw,2,3,149,0.886962875271946,51.40798025701919
MX,arx,sintomas_de_dengue,raw,2,4,149,0.8318421677559921,65.56566657056749
MX,arx,sintomas_de_dengue,raw,2,5,149,0.7802488740540772,81.27137841724456
MX,arx,sintomas_de_dengue,raw,2,6,149,0.730132142983636,97.36377775955413
MX,arx,sintomas_de_dengue,raw,2,7,149,0.6653453215576879,123.98804234096366
MX,arx,sintomas_de_dengue,raw,2,8,149,0.5905108276122196,136.93876132719714
MX,arx,sintomas_de_dengue,raw,3,1,149,0.9722369610428171,25.180273473734598
MX,arx,sintomas_de_dengue,raw,3,2,149,0.9436928607625268,35.403821403303034
MX,arx,sintomas_de_dengue,raw,3,3,149,0.8900794889068366,49.03321295655309
MX,arx,sintomas_de_dengue,raw,3,4,149,0.8372048109511003,63.86428447972071
MX,arx,sintomas_de_dengue,raw,3,5,149,0.786194528545255,79.38283580072371
MX,arx,sintomas_de_dengue,raw,3,6,149,0.7431946898308248,96.00375605390843
MX,arx,sintomas_de_dengue,raw,3,7,149,0.6876288707263651,125.48785260195446
MX,arx,sintomas_de_dengue,raw,3,8,149,0.6283104675772849,138.0147226022674
