sample_collect_date,site,counties_served,population_served,pcr_target_avg_conc,pcr_target_flowpop_lin,pcr_target_detect
2022-11-07,337,Fulton,189593,46011.93714,,yes
2022-11-07,346,"Chattahoochee, Muscogee",278000,13891.80356,,yes
2022-11-07,326,Fulton,12818,61265.48206,,yes
2022-11-07,336,Fulton,84486,57852.70378,,yes
2022-11-07,338,Fulton,190000,38891.32462,,yes
2022-11-08,341,Fulton,70887,5694.81335,,yes
2022-11-08,339,Fulton,600000,9255.94261,,yes
2022-11-08,326,Fulton,12818,294380.00635,,yes
2022-11-08,340,Fulton,105160,45116.08721,,yes
2022-11-08,336,Fulton,84486,58992.50882,,yes
2022-11-08,337,Fulton,189593,52878.07616,,yes
2022-11-08,338,Fulton,190000,38889.31698,,yes
2022-11-09,336,Fulton,84486,49651.41959,,yes
2022-11-09,326,Fulton,12818,220729.96312,,yes
2022-11-09,338,Fulton,190000,95001.53525,,yes
2022-11-09,337,Fulton,189593,102473.99012,,yes
2022-11-09,346,"Chattahoochee, Muscogee",278000,20496.5974,,yes
2022-11-11,346,"Chattahoochee, Muscogee",278000,22135.69416,,yes
2022-11-13,339,Fulton,600000,7680.80062,,yes
2022-11-13,340,Fulton,105160,26014.90085,,yes
2022-11-13,341,Fulton,70887,41095.64072,,yes
2022-11-14,338,Fulton,190000,23531.02701,,yes
2022-11-14,326,Fulton,12818,117866.19826,,yes
2022-11-14,346,"Chattahoochee, Muscogee",278000,8164.26819,,yes
2022-11-14,337,Fulton,189593,45231.8707,,yes
2022-11-14,336,Fulton,84486,109627.88634,,yes
2022-11-15,337,Fulton,189593,47476.09434,,yes
2022-11-15,340,Fulton,105160,33434.45527,,yes
2022-11-15,338,Fulton,190000,39487.12282,,yes
2022-11-15,339,Fulton,600000,6444.3175,,yes
2022-11-15,326,Fulton,12818,117090.064,,yes
2022-11-15,341,Fulton,70887,23458.03579,,yes
2022-11-15,336,Fulton,84486,120204.24158,,yes
2022-11-16,337,Fulton,189593,35714.77842,,yes
2022-11-16,338,Fulton,190000,54566.95211,,yes
2022-11-16,326,Fulton,12818,134764.92157,,yes
2022-11-16,346,"Chattahoochee, Muscogee",278000,14206.93344,,yes
2022-11-16,336,Fulton,84486,28368.17459,,yes
2022-11-17,339,Fulton,600000,13011.35531,,yes
2022-11-17,341,Fulton,70887,25025.19133,,yes
2022-11-17,340,Fulton,105160,11935.9768,,yes
2022-11-18,346,"Chattahoochee, Muscogee",278000,9053.97078,,yes
2022-11-20,341,Fulton,70887,17630.2274,,yes
2022-11-20,339,Fulton,600000,17749.82468,,yes
2022-11-20,340,Fulton,105160,32169.05395,,yes
2022-11-21,346,"Chattahoochee, Muscogee",278000,4899.54301,,yes
2022-11-21,338,Fulton,190000,30987.98902,,yes
2022-11-21,336,Fulton,84486,44017.77751,,yes
2022-11-21,326,Fulton,12818,37842.56681,,yes
2022-11-21,337,Fulton,189593,55592.22487,,yes
2022-11-22,338,Fulton,190000,38606.58734,,yes
2022-11-22,337,Fulton,189593,69257.59073,,yes
2022-11-22,336,Fulton,84486,84085.64315,,yes
2022-11-22,326,Fulton,12818,49716.72316,,yes
2022-11-23,336,Fulton,84486,41055.98958,,yes
2022-11-23,337,Fulton,189593,110653.83542,,yes
2022-11-23,326,Fulton,12818,41062.03715,,yes
2022-11-23,346,"Chattahoochee, Muscogee",278000,22855.01746,,yes
2022-11-23,338,Fulton,190000,43532.62928,,yes
2022-11-27,340,Fulton,105160,36635.17326,,yes
2022-11-27,339,Fulton,600000,23102.03206,,yes
2022-11-27,341,Fulton,70887,32009.90575,,yes
2022-11-28,338,Fulton,190000,35995.28229,,yes
2022-11-28,346,"Chattahoochee, Muscogee",278000,12251.22561,,yes
2022-11-28,337,Fulton,189593,43758.69374,,yes
2022-11-28,336,Fulton,84486,64028.83075,,yes
2022-11-28,326,Fulton,12818,39300.24564,,yes
2022-11-29,341,Fulton,70887,136184.06343,,yes
2022-11-29,338,Fulton,190000,89905.01635,,yes
2022-11-29,326,Fulton,12818,53653.4887,,yes
2022-11-29,337,Fulton,189593,86315.70489,,yes
