geo,origin_week,calendar_week,prediction_week,prediction_lead,actual,predicted,APE,model,lambda,n_nonzero_search,train_n,reporting_lag,transform,case_lags
MX,2019-03-17,2019-04-14,2019-04-07,3,976,384.4058977844143,60.61414981717067,ar,NA,0,220,4,log1p,"1,2,3,52,104"
MX,2019-03-17,2019-04-14,2019-04-14,4,557,407.1877103239237,26.896281808990363,ar,NA,0,220,4,log1p,"1,2,3,52,104"
MX,2019-03-17,2019-04-14,2019-03-24,1,826,723.068851273852,12.46139815086537,argo,0.11541310120877514,0,220,4,log1p,"1,2,3,52,104"
MX,2019-03-17,2019-04-14,2019-03-31,2,996,730.2966111214917,26.677047076155457,argo,0.11541310120877514,0,220,4,log1p,"1,2,3,52,104"
MX,2019-03-17,2019-04-14,2019-04-07,3,976,760.1560683091215,22.115156935540835,argo,0.11541310120877514,0,220,4,log1p,"1,2,3,52,104"
MX,2019-03-17,2019-04-14,2019-04-14,4,557,783.4843975613696,40.66147173453673,argo,0.11541310120877514,0,220,4,log1p,"1,2,3,52,104"
MX,2019-03-24,2019-04-21,2019-03-31,1,996,580.5113402945499,41.71572888608937,ar,NA,0,221,4,log1p,"1,2,3,52,104"
MX,2019-03-24,2019-04-21,2019-04-07,2,976,496.41756151367883,49.13754492687717,ar,NA,0,221,4,log1p,"1,2,3,52,104"
MX,2019-03-24,2019-04-21,2019-04-14,3,557,480.3459137660837,13.76195444055948,ar,NA,0,221,4,log1p,"1,2,3,52,104"
MX,2019-03-24,2019-04-21,2019-04-21,4,786,470.9540544882151,40.0821813628225,ar,NA,0,221,4,log1p,"1,2,3,52,104"
MX,2019-03-24,2019-04-21,2019-03-31,1,996,817.3142077513721,17.940340587211633,argo,0.11237019875370687,0,221,4,log1p,"1,2,3,52,104"
MX,2019-03-24,2019-04-21,2019-04-07,2,976,850.8754877586068,12.820134450962414,argo,0.11237019875370687,0,221,4,log1p,"1,2,3,52,104"
MX,2019-03-24,2019-04-21,2019-04-14,3,557,867.4018097052234,55.72743441745482,argo,0.11237019875370687,0,221,4,log1p,"1,2,3,52,104"
MX,2019-03-24,2019-04-21,2019-04-21,4,786,886.5999111150526,12.798970879777682,argo,0.11237019875370687,0,221,4,log1p,"1,2,3,52,104"
MX,2019-03-31,2019-04-28,2019-04-07,1,976,682.7446213878881,30.0466576446836,ar,NA,0,222,4,log1p,"1,2,3,52,104"
MX,2019-03-31,2019-04-28,2019-04-14,2,557,610.352608872466,9.57856532719318,ar,NA,0,222,4,log1p,"1,2,3,52,104"
MX,2019-03-31,2019-04-28,2019-04-21,3,786,553.6603885672149,29.5597470016266,ar,NA,0,222,4,log1p,"1,2,3,52,104"
MX,2019-03-31,2019-04-28,2019-04-28,4,775,476.64380843575753,38.497573105063545,ar,NA,0,222,4,log1p,"1,2,3,52,104"
MX,2019-03-31,2019-04-28,2019-04-07,1,976,1006.1390331698068,3.0880156936277454,argo,0.10980837221269368,0,222,4,log1p,"1,2,3,52,104"
MX,2019-03-31,2019-04-28,2019-04-14,2,557,1024.846501846066,83.99398596877309,argo,0.10980837221269368,0,222,4,log1p,"1,2,3,52,104"
MX,2019-03-31,2019-04-28,2019-04-21,3,786,1030.602398107118,31.119897978004836,argo,0.10980837221269368,0,222,4,log1p,"1,2,3,52,104"
MX,2019-03-31,2019-04-28,2019-04-28,4,775,1037.141747548874,33.824741619209554,argo,0.10980837221269368,0,222,4,log1p,"1,2,3,52,104"
MX,2019-04-07,2019-05-05,2019-04-14,1,557,758.766522864183,36.22379225568815,ar,NA,0,223,4,log1p,"1,2,3,52,104"
MX,2019-04-07,2019-05-05,2019-04-21,2,786,651.8046681254294,17.073197439512793,ar,NA,0,223,4,log1p,"1,2,3,52,104"
MX,2019-04-07,2019-05-05,2019-04-28,3,775,533.6161204400704,31.146307039990916,ar,NA,0,223,4,log1p,"1,2,3,52,104"
MX,2019-04-07,2019-05-05,2019-05-05,4,933,501.970898151579,46.198188836915435,ar,NA,0,223,4,log1p,"1,2,3,52,104"
MX,2019-04-07,2019-05-05,2019-04-14,1,557,998.585567379724,79.27927601072244,argo,0.10902443045397832,0,223,4,log1p,"1,2,3,52,104"
MX,2019-04-07,2019-05-05,2019-04-21,2,786,1004.3763664069693,27.783252723532986,argo,0.10902443045397832,0,223,4,log1p,"1,2,3,52,104"
MX,2019-04-07,2019-05-05,2019-04-28,3,775,1013.2650269401013,30.743874443884035,argo,0.10902443045397832,0,223,4,log1p,"1,2,3,52,104"
MX,2019-04-07,2019-05-05,2019-05-05,4,933,1020.1413210595704,9.339905794166171,argo,0.10902443045397832,0,223,4,log1p,"1,2,3,52,104"
MX,2019-04-14,2019-05-12,2019-04-21,1,786,541.4580942875592,31.112201744585338,ar,NA,0,224,4,log1p,"1,2,3,52,104"
MX,2019-04-14,2019-05-12,2019-04-28,2,775,463.94117444294227,40.13662265252358,ar,NA,0,224,4,log1p,"1,2,3,52,104"
MX,2019-04-14,2019-05-12,2019-05-05,3,933,456.80699253214163,51.03890755282512,ar,NA,0,224,4,log1p,"1,2,3,52,104"
MX,2019-04-14,2019-05-12,2019-05-12,4,1330,468.10898748083787,64.80383552775655,ar,NA,0,224,4,log1p,"1,2,3,52,104"
MX,2019-04-14,2019-05-12,2019-04-21,1,786,611.1918452965846,22.24022324470934,argo,0.11128924187742674,0,224,4,log1p,"1,2,3,52,104"
MX,2019-04-14,2019-05-12,2019-04-28,2,775,620.6432920576532,19.91699457320604,argo,0.11128924187742674,0,224,4,log1p,"1,2,3,52,104"
