geo,origin_week,calendar_week,model,train_n,reporting_lag,n_leads,R2,MAPE,lambda,n_nonzero_search
MX,2019-03-03,2019-03-31,ar,218,4,4,-11.088948757306293,46.69984551968407,NA,0
MX,2019-03-03,2019-03-31,argo,218,4,4,0.046828128394903024,13.888117754812185,0.11593313736631355,0
MX,2019-03-10,2019-04-07,ar,219,4,4,-11.126862017764738,42.352665428420394,NA,0
MX,2019-03-10,2019-04-07,argo,219,4,4,-0.5630889281165932,16.298687311612152,0.11381088958704406,0
MX,2019-03-17,2019-04-14,ar,220,4,4,-5.82829357621453,47.388433530706365,NA,0
MX,2019-03-17,2019-04-14,argo,220,4,4,-0.4546000038674234,25.4787684742746,0.11541310120877514,0
MX,2019-03-24,2019-04-21,ar,221,4,4,-3.0513596094181876,36.17435240408713,NA,0
MX,2019-03-24,2019-04-21,argo,221,4,4,-0.22918263474686418,24.821720083851638,0.11237019875370687,0
MX,2019-03-31,2019-04-28,ar,222,4,4,-1.6334760389823368,26.92063576964173,NA,0
MX,2019-03-31,2019-04-28,argo,222,4,4,-2.956715239930285,38.006660314903804,0.10980837221269368,0
MX,2019-04-07,2019-05-05,ar,223,4,4,-3.204633198011188,32.66037139302683,NA,0
MX,2019-04-07,2019-05-05,argo,223,4,4,-3.264063514808381,36.78657724307641,0.10902443045397832,0
MX,2019-04-14,2019-05-12,ar,224,4,4,-4.573298993541707,46.772891869422644,NA,0
MX,2019-04-14,2019-05-12,argo,224,4,4,-1.7283593704985933,30.173461684774317,0.11128924187742674,0
MX,2019-04-21,2019-05-19,ar,225,4,4,-4.984186696018223,46.925404734155315,NA,0
MX,2019-04-21,2019-05-19,argo,225,4,4,-1.1102458842989753,22.433083764104815,0.1099422637047325,0
MX,2019-04-28,2019-05-26,ar,226,4,4,-9.23953974076376,50.45099300690894,NA,0
MX,2019-04-28,2019-05-26,argo,226,4,4,-3.868386097126767,32.71659573275766,0.1088820652530825,0
MX,2019-05-05,2019-06-02,ar,227,4,4,-41.69750180863239,49.79922592718233,NA,0
MX,2019-05-05,2019-06-02,argo,227,4,4,-19.023868895435864,33.745117507789125,0.10747600645850279,0
MX,2019-05-12,2019-06-09,ar,228,4,4,-2.343928092793589,44.9058209548187,NA,0
MX,2019-05-12,2019-06-09,argo,228,4,4,-0.8898486434764554,24.067751738303564,0.10519434592720998,0
MX,2019-05-19,2019-06-16,ar,229,4,4,-2.1710235646732587,41.11526522664744,NA,0
MX,2019-05-19,2019-06-16,argo,229,4,4,-0.9091606459385242,24.060610111307888,0.10442118695347076,0
MX,2019-05-26,2019-06-23,ar,230,4,4,-2.708601352598591,41.1728931749475,NA,0
MX,2019-05-26,2019-06-23,argo,230,4,4,-1.2444160381963476,25.527831402506084,0.10335503902983287,0
MX,2019-06-02,2019-06-30,ar,231,4,4,-4.856872187981804,46.64672083794908,NA,0
MX,2019-06-02,2019-06-30,argo,231,4,4,-2.7305102100686702,34.36507204346431,0.10272648361507089,0
MX,2019-06-09,2019-07-07,ar,232,4,4,-3.4501582009850624,44.178775693778576,NA,0
MX,2019-06-09,2019-07-07,argo,232,4,4,-0.5353582039863096,28.859141033778542,0.1004643667812927,0
MX,2019-06-16,2019-07-14,ar,233,4,4,-27.1374967077391,57.714959217686825,NA,0
MX,2019-06-16,2019-07-14,argo,233,4,4,-19.266908398568084,48.524864951185656,0.10312113204392043,0
MX,2019-06-23,2019-07-21,ar,234,4,4,-23.610726546745653,52.09367230367131,NA,0
MX,2019-06-23,2019-07-21,argo,234,4,4,-10.586687922460587,34.48315800903455,0.10125973414266179,0
MX,2019-06-30,2019-07-28,ar,235,4,4,-13.724958327050004,52.506532921157756,NA,0
MX,2019-06-30,2019-07-28,argo,235,4,4,-5.958858751063195,33.18924611958768,0.09984577437508282,0
